# analysis/lf52_episode_lengths.csv -- AUTHORITATIVE Fig-3b table
# Generator: analysis/lf52_episode_lengths.py (read-only, tracked)
# Unit: RHAE action_count = (#step-rows)-1  [human: len(episode)-1; agent: len(rewards)-1]
# Human segmentation: canonical arc3_wm.replay_loader.load_replay_file (rewalk cross-check OK)
# phantom = lone 1-row / 0-action segment.
#
# ===== HUMAN per-episode summary (action_count) =====
#   INCLUDING phantoms: n=48  median=67  max=1604  | WIN=4 GAME_OVER=0 NOT_FINISHED=44
#   EXCLUDING phantoms: n=45  median=77  max=1604  | WIN=4 GAME_OVER=0 NOT_FINISHED=41  (dropped 3 phantom)
#
# ===== AGENT eval series (same unit) =====
#   eval episodes total n=105  distinct action_count=[64]  variance=0  -> all == 64, zero variance
#     p4-lf52-s0-warm-98de390: n=28 distinct=[64]
#     p4-lf52-s1-warm-98de390: n=26 distinct=[64]
#     p4-fromscratch-lf52-s0-a06c02f: n=26 distinct=[64]
#     p4-fromscratch-lf52-s1-a06c02f: n=25 distinct=[64]
#
series,session_id,episode_idx_in_session,action_count,terminal_state,is_phantom
agent_eval,p4-lf52-s1-warm-98de390,14,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,15,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,16,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,17,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,18,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,19,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,20,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,21,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,22,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,23,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,24,64,NOT_LOGGED,0
agent_eval,p4-lf52-s1-warm-98de390,25,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,0,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,1,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,2,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,3,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,4,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,5,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,6,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,7,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,8,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,9,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,10,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,11,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,12,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,13,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,14,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,15,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,16,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,17,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,18,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,19,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,20,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,21,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,22,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,23,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,24,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s0-a06c02f,25,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,0,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,1,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,2,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,3,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,4,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,5,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,6,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,7,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,8,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,9,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,10,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,11,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,12,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,13,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,14,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,15,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,16,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,17,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,18,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,19,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,20,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,21,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,22,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,23,64,NOT_LOGGED,0
agent_eval,p4-fromscratch-lf52-s1-a06c02f,24,64,NOT_LOGGED,0
